probeset,human1,human2,human3,human4,chimp1,chimp2,chimp3,chimp4
1552867_at,5.40503553543498,5.21106296112671,5.56629724467783,5.24067735991102,5.49787810850045,5.55914555357131,5.77174270881289,5.55828642648843
1552868_at,1.85300617685815,2.02717710282845,2.071610317909,2.12719844180996,2.05850636238663,2.12122088160296,2.63973066354251,2.17420488222925
1552870_s_at,5.88925796120229,5.6346185947532,5.81605915363056,5.88722684386714,5.98132065680411,5.42617068948194,4.93667838627081,6.48090753867445
1552872_at,1.85928492979417,1.84986035459985,1.81460508846209,1.82205003118187,1.82975864184038,1.81844473309175,1.76398984673854,1.81139959677408
1552873_s_at,3.65579708400702,3.89267011255308,3.69073769808837,3.56687724455126,3.78627099569724,3.83123163873915,3.6730117178914,4.14833738532028
1552875_a_at,3.9331409915943,3.84937399309964,3.97230884557109,3.97678266269762,4.19829371423742,3.97275971763238,3.99214181869632,3.48542016931354
1552876_at,2.54178325257221,2.4926811581711,2.67612871852263,2.76871480217784,3.82721874416407,3.46145067189467,3.21532108214612,4.66595648504659
1552877_s_at,2.42645178880132,2.37082744497275,2.4615463075358,2.43354278728019,2.54341775703399,2.87136293995456,2.34945708357333,2.45619222071432
1552878_at,1.93003652065351,1.94443666891399,1.91490754786938,1.77529132610773,1.89151173341114,1.69490277869167,1.87262876995058,1.72997870579763
1552879_a_at,2.69848205052613,2.91645396001041,2.7422628785906,2.85019001019338,2.50034670831513,2.59281106106816,2.7014072171523,2.65055896714483
1552880_at,2.15236626680285,2.30376705201644,2.51356968261044,2.25248293467066,1.87881808668575,1.80935315729954,1.69666536850755,1.95806095485341
1552882_a_at,2.93359010014344,2.84677836145809,3.12858441379574,3.27706073035003,3.08845414371084,3.5056136715004,3.2776520922433,3.64273042981096
1552884_at,6.27838267428995,6.04046695602947,6.10972042470651,6.14714113046258,6.06602170628575,5.57355227808705,5.65841486327347,5.77715917721687
1552885_a_at,4.35948519904715,4.55000007841765,4.63096373823847,4.46608944551865,4.71563456435566,4.91890637781755,4.8380897144144,4.36343525845605
1552887_at,4.3853753046152,3.64261288201616,4.21038222471439,3.3800872676705,2.39043337202331,3.40803631584761,3.96418329761577,3.34440679606114
1552889_a_at,4.32924457401767,4.47528822695881,3.94704335719404,3.34513517319827,2.06638031701975,2.71762429139625,2.26942455564988,3.27380243621373
1552890_a_at,4.86052804037918,4.86832690121953,5.55065037987743,4.83614393699916,5.55959200301553,5.05615310574081,5.12848683267594,4.8566127242436
1552892_at,3.50751231196985,3.52862901274601,3.04122399660622,3.95049940083791,4.35339679046234,4.56128660163691,4.17674348025216,4.12434906454967
1552893_at,4.0786058431346,4.31659061936917,3.46094926080347,4.29725470569538,4.78089340690927,5.22175234866448,5.08001647171737,5.96989452799118
1552895_a_at,4.13193374323507,3.69763005224238,3.77418404804035,3.91377653903969,4.08353378262196,4.20022808124668,4.42371327567308,4.14089582399022
1552897_a_at,3.63659477980521,3.14544524679695,3.37609627179041,3.6909138380173,3.51963451735159,3.66116369401084,3.73741341967852,3.53979940967453
1552898_a_at,3.38020572276115,3.27095365516507,3.44711361004414,3.41412363345998,3.19159913612196,3.09856088651868,3.14804977520929,2.98016843120898
1552899_at,2.77446466038165,2.56584111091883,2.67050450204336,2.8018494360701,3.04937360075782,2.9641288391962,3.12479050883256,2.99922747651749
1552900_a_at,5.38845576901419,5.18629846786184,5.20240198912542,5.37012035042745,5.68537618107948,6.5196298555575,5.86481742505283,5.22070146600139
1552902_a_at,3.15772163762248,3.41208126038315,3.21645040626287,3.35096544274553,3.85820810805057,4.09964720004348,4.22623992377186,4.22324835782145
1552903_at,3.76203911408029,3.5021651687366,3.65345176515101,3.73984789538107,3.01539422044124,3.48957175829643,3.37469208421263,3.51662293047524
1552904_at,7.24420255466208,6.62959626351134,6.7407706261452,6.91807392653335,4.80130645043287,3.96270982201922,4.77288976189859,4.84861051306101
1552906_at,7.18915219857652,7.4611637114113,7.40534050571624,6.98687474229927,8.29193512818243,8.25501376995958,8.0330066174496,7.18979058133416
1552908_at,5.994619082814,5.35084324518997,5.35483670910271,5.83397086198888,5.95157973207477,5.64724893851893,5.62388092012558,5.50244708512492
1552910_at,5.59088830197749,5.31023136360612,5.81116028892664,5.16195661634426,5.28781373426064,5.24984788486308,7.12181370896194,5.09748673788658
1552911_at,2.67139575642799,2.77756540137674,2.64048292370568,2.58463689609046,3.06795523972761,3.16323362210975,3.38558749991377,3.27824307107862
1552912_a_at,2.03303172386015,2.01942762318113,2.20863481195284,2.17214058885109,3.34509146808953,2.12221754997259,2.07368882100472,2.12698526780222
1552913_at,5.65835874163802,6.01335872921546,5.21626168822847,6.0361889723489,5.69967901795276,5.70192217712125,6.00025481471027,5.70418687090128
1552914_a_at,4.6979080105794,4.55302823116252,4.53700139488644,4.31123855674901,4.679179032277,4.56069538670695,4.87885599304899,4.58369685334026
1552915_at,6.9916960563256,6.85130796835943,6.43780537325715,6.81955418686357,7.44719916585386,7.31735724456515,7.11351829003938,7.02857645723522
1552917_at,5.2032592372014,4.8697994322218,4.75554482867658,5.15907460191239,3.51774793134715,3.18417267799406,3.38282624252657,2.91083793307942
1552919_at,3.91360211910241,3.7837251234123,3.14009359338551,3.68214648077304,3.44498982119192,4.00031936303579,3.99077874576807,3.71638595273751
1552921_a_at,3.89474545273792,4.0501892326572,4.47410546768996,4.423542245367,3.34560487564405,3.70014895835187,3.75744201947138,4.80151239857798
1552922_at,6.46949678952054,6.53355372534481,6.51157871095169,6.56408356028178,6.26838909004132,6.779590381534,6.68063295696843,6.91326296095332
1552923_a_at,5.77540711889435,5.55795240208817,5.62212231815422,5.66314454179048,5.89098111897084,5.61214485691473,5.86159523788319,5.13982147318336
1552924_a_at,4.61731704675541,4.02030706357383,4.13325526943715,3.98825685742894,3.00960615244386,3.38094888808051,3.14488432231727,3.91984133380284
1552925_at,1.9011750263713,3.14104417614353,2.29045481810658,2.16603832794948,2.75504738315427,2.58635940750391,2.06268907159158,2.31376042128103
1552927_at,3.17376977320493,4.25779177874608,3.13776311551263,3.7468647256431,5.20420667600587,3.87744804860796,3.54975741817398,3.29677705025322
1552928_s_at,7.38882943731789,7.55481053721543,7.58064378875218,7.67169325493383,7.42470692121911,7.58919658605094,7.69136071943242,7.68310614229865
1552929_at,6.91412559650801,6.77639178821751,7.00473024531465,7.04708972392988,6.77874070500624,6.86878386904751,7.16989360294939,7.1842184952431
1552930_at,9.48282118213408,9.36877242117653,9.32082271154686,9.53567065213858,9.43328916945037,9.46402875028717,9.41381411118271,9.62179373182912
1552931_a_at,2.86712052832986,3.51723808021183,3.35818851782443,2.5404878658233,2.41721157520961,2.68625603681523,2.66230129406752,2.58254507752469
1552932_at,3.6546675096903,3.55674594856559,3.73529048888501,3.62212484202729,3.54309139103916,3.44631683174613,3.40721646018342,3.45947112148901
1552933_at,7.03120788330325,6.96429792406057,6.83692336742754,6.95426705868477,7.11145504774812,6.90003263612822,7.36060924923332,7.14622701684855
1552935_at,9.21517959991066,8.8001422046456,8.99655943367275,9.09295354828966,8.76726267340374,7.89176466589784,8.07674843567373,8.87034074741526
1552937_s_at,7.36032885379367,7.4178917273001,7.58107789106364,7.49890960902288,7.62177073134616,7.6035450804002,7.50317809897037,7.81509980991804
1552938_at,4.795712022131,4.96576616306061,4.47386270509724,5.14222833761337,3.94820652115009,3.73250131839015,3.80628843001477,4.13113508478529
1552939_at,6.14686149646517,5.93550404886942,5.45279975082916,5.91093125696784,5.9966056921786,6.1396384371011,6.1873071326509,6.41633577487529
1552940_at,2.526590207916,2.83556472362266,2.61790981752528,2.40443350676083,2.37329013582197,2.14967360379281,2.29117787301767,2.34546446886215
1552942_at,5.95219544215234,5.75122733118916,5.75388747847345,5.95219544215234,5.58110616814455,5.04914859164302,5.22870701779713,5.09235899016813
1552943_at,2.95162883157516,2.73493478599365,2.78333163656329,3.04705392682177,2.82641555032385,2.75585768294249,2.98995813126058,2.32047239515733
1552944_a_at,2.1699308291384,2.16790829729503,2.12993951562043,2.27581263569011,2.73330500171894,2.62784760254282,2.29643686713358,2.42760585654195
1552946_at,3.36937356280125,3.20014939166199,3.17188835219603,2.97241189490275,3.99561301544037,3.52932763983248,3.43776262905401,3.09948278520724
1552947_x_at,6.13127096763816,6.10422107661059,5.91627676383731,6.05722380792139,5.49775081435117,5.76960907637726,5.45686673703889,6.15585033659074
1552948_at,2.48157692245092,2.74950266408282,2.65328467231072,2.8970959896238,2.64191580786208,5.45041219002587,2.89553010787605,2.53949203915457
1552950_at,4.81627943552244,5.65885106030372,4.37403118213683,4.85679416697204,4.53082253981896,4.54297396765452,4.33252774816453,4.68815901402731
1552952_at,5.40960880460869,5.21243966791724,4.79633859908035,5.32534691077167,6.0391307390157,5.36870915837654,5.4010709987399,5.82080803588626
1552953_a_at,2.86162185188371,3.30105290708803,3.10885602009258,3.06083526959477,3.59993668480085,2.85239600061033,3.05624916432275,3.0500819353709
1552954_at,2.32250813099779,2.16661608180295,2.2757788539223,2.38921101991133,2.24292565289358,2.29366935793157,2.1041942942145,2.07321839032612
1552955_at,3.10296255954146,2.95373397165321,2.8447212884661,2.87764968362568,2.90168228262432,2.70719054658453,3.0057856606821,4.48424692265872
1552957_at,1.81077696688756,1.8603982710834,1.82834403820929,1.93997894957944,1.88416149389436,1.84046084117563,1.88416149389436,2.18948261817797
1552960_at,5.35721762091799,5.39375665357868,5.08314744752369,5.38010947682891,4.48916558884992,6.41697460641188,5.41566617281892,5.38950737916514
1552961_at,2.25969274608602,2.47242359297005,2.30227803374782,2.61510878147858,2.36956771583982,2.24866658479631,2.70453011744827,2.52623371317331
1552964_at,3.93143295852263,4.36239395077058,4.01473119138693,4.26017069473636,3.70395386968463,4.06579239677187,3.44955079313169,3.99209513504888
1552965_a_at,5.74805196377309,5.71857165072769,5.94528706588687,5.78858669757653,5.84555316689873,5.95648267260375,5.82657673570052,5.96621135916086
1552967_at,2.06446007170925,1.92686957502602,2.24759743309103,1.88963678443497,2.00093501360955,1.68050498573753,1.81695315996402,1.47936701622298
1552969_a_at,2.3713748071585,2.56551103762179,2.39118893668055,2.49168974449024,2.83950715224506,2.82289934670441,2.58410258510947,2.63055923166195
1552970_s_at,4.33752593786089,4.3100371044683,4.46129867052412,4.08258021889631,4.09618183176399,3.95573672015625,3.82778910590602,3.70673490081476
1552971_at,2.16535890779486,2.08078859152969,1.93747432773148,2.19186585838128,2.07382638720096,1.92580800373377,2.3066808544048,2.01984019392683
1552972_at,2.65990793104445,3.00760086283682,3.01141092674484,2.58322044666432,2.85520360697991,2.91443620369936,2.94609256908581,2.84234495129049
1552973_at,2.89209829707877,3.22022122633825,3.05831010880153,3.02849002414532,3.37599238201575,3.29014740932252,3.26647840281439,3.29412914919172
1552974_at,3.41080065993478,3.17152412130846,3.10835642180367,3.0658038571221,3.45022367042483,3.24862956963473,2.9495203458982,3.0658038571221
1552975_x_at,2.06446007170925,2.19468746160373,2.03222286207983,2.19468746160373,2.31612924363467,2.40744885324395,2.25491477179195,2.19468746160373
1552976_at,2.30346158071213,2.56811604543581,2.24300408927933,2.2866799004295,2.09174954405882,2.24092627424342,2.24544636349918,2.18999198293129
1552977_a_at,5.29450904623939,4.43657338748649,5.07673250459253,5.06628918562995,4.70960904588453,4.31792739591862,4.53898332878356,4.7649195448096
1552978_a_at,3.78827462104511,3.6268532844402,4.08851539748228,3.68567988248811,3.74885431897348,3.93795854745499,4.13023730502758,4.10435755041253
1552979_at,3.45060249478502,3.06705212150627,3.27748431038165,3.06109770691998,3.2780914100141,3.16194634349366,3.18390997220522,3.26684205926202
1552980_at,4.23005525247436,3.97829059864812,3.96524586429543,4.30371585739125,3.91767017689926,3.41765111380112,3.76542767038196,3.38747314697982
1552982_a_at,3.98062452736005,3.82637850169082,3.93967270118363,3.98674964856416,4.06921449531651,3.8926219429498,3.53142007033612,4.92226323701885
1552985_at,2.80012759186953,3.04820414813615,3.06109770691998,2.92420662405409,3.41864675578204,3.18181948862038,3.31433326073764,3.65288752389859
1552986_at,4.8740899851413,4.57247959166752,4.7445225345673,4.55617578865516,4.85197733678917,5.04042712396463,5.01319885013224,4.88880907297254
1552987_a_at,2.10609425980993,2.07191010819064,2.07439345368444,2.06456824587713,2.07191010819064,1.9875872428072,2.29051772210738,2.08411248781773
1552988_at,4.02174233459615,3.72260063145956,3.91989679513699,3.96037255710691,3.77735113731292,3.76275666449635,3.75408056607632,3.70249393602386
1552990_at,2.54354002167052,2.75065617951395,4.1326960617729,2.49450175844593,2.68538673062496,2.46929937532966,2.60244803358671,2.37195511460824
1552991_at,2.5137241483165,2.41045403539979,2.18600130469874,2.09004978295297,2.18600130469874,2.19493684883528,2.31083314221289,2.38056923829632
1552993_at,4.28015586802023,4.94373489054,5.10707379690042,5.14618526268438,4.97150458328455,5.06677227426246,5.38650259516834,5.43730379032457
1552995_at,8.87278888465252,8.79399945893313,8.8533772093387,8.91800677578338,8.56651785686758,8.94202072836538,9.2848168515751,10.1261389356272
1552997_a_at,2.50694126640416,2.63893263077863,2.94739809010135,2.76225109534516,2.82972637842258,2.84234495129049,3.11920741033216,3.04278845596374
